,1,2,3,4,5,6,7,8,9,10,11,12
RTSTRUCT,0,0,0,0,0,0,0,0,0,0,0,0
US,310,510,401,517,921,593,739,1032,786,842,811,1159
CR,0,0,0,0,0,0,0,0,0,0,0,0
MR,472,574,949,484,566,800,598,663,1209,1054,1181,1388
CT,1864,2066,1440,2318,2139,1486,2126,2472,2236,2598,2717,2091
XA,709,1090,897,979,1001,776,941,1363,1105,918,1528,1213
SC,0,0,0,0,0,0,0,0,0,0,0,0
PR,0,0,0,0,0,4,0,0,0,0,0,0
OT,0,0,0,0,0,0,0,0,0,0,0,0
PDF,0,0,0,0,0,0,0,0,0,0,0,0
PT,0,0,0,0,0,0,0,0,0,0,0,0
XC,0,0,0,0,0,0,0,0,0,0,0,0
SR,0,0,0,0,172,155,186,229,161,170,164,237
KO,0,1,0,0,0,1,0,0,0,0,0,0
ECG,2,0,0,0,0,0,0,0,0,3,0,6
DX,972,4018,2242,2205,2407,1504,2186,2817,4236,3718,3630,1909
