,1,2,3,4,5,6,7,8,9,10,11,12
RTSTRUCT,0,0,0,0,0,0,0,0,0,0,0,0
US,0,0,0,0,0,0,0,37,415,432,447,272
CR,0,0,0,0,0,0,0,0,0,0,0,0
MR,0,0,0,0,0,0,0,0,0,284,596,403
CT,0,0,0,0,0,0,0,1304,1498,2305,2304,1474
XA,0,0,0,0,0,0,0,500,968,604,1015,911
SC,0,0,0,0,0,0,0,0,0,0,0,0
PR,0,0,0,0,0,0,0,0,0,0,0,0
OT,0,0,0,0,0,0,0,0,0,0,0,0
PDF,0,0,0,0,0,0,0,0,0,0,0,0
PT,0,0,0,0,0,0,0,0,0,0,0,0
XC,0,0,0,0,0,0,0,0,0,0,0,0
SR,0,0,0,0,0,0,0,0,1,0,0,0
KO,0,0,0,0,0,0,0,0,0,0,0,0
ECG,0,0,0,0,0,0,0,0,0,2,3,0
DX,0,0,0,0,0,0,0,4088,2689,2089,2925,2542
